,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
188,4140.64102544,4188.3333332,4172.56410243,4160.38461518,4160.12820492,4144.74358954,4179.74358961,4134.10256383,4096.79487145,4166.28205108,4126.79487152,4111.79487152,4168.84615371,4137.05128185
189,4149.23076903,4190.64102551,4167.94871774,4157.17948697,4139.74358954,4132.05128178,4176.5384614,4130.89743562,4098.97435863,4167.17948697,4139.9999998,4117.69230742,4173.3333332,4139.35897415
190,4088.97435863,4103.58974332,4092.94871761,4076.53846119,4071.53846119,4077.82051248,4177.4358973,4066.53846113,4039.87179446,4099.35897402,4076.79487145,4056.79487138,4114.74358947,4086.79487145
191,4035.89743541,4051.66666625,4037.43589702,4022.05128157,4024.61538413,4023.33333285,4182.56410243,4022.30769183,3991.53846099,4050.12820472,4021.66666618,3995.2564097,4060.89743548,4030.64102516
192,3963.33333271,3990.38461483,3965.64102502,3957.56410194,3941.0256404,3935.76923008,4184.35897422,3935.64102495,3911.28205059,3961.15384553,3940.51281989,3924.74358905,3974.87179432,3947.69230707
193,3863.71794789,3888.20512744,3864.74358891,3860.38461455,3804.35897339,3835.76922987,4183.20512807,3818.07692218,3805.51281954,3849.99999917,3833.97435807,3830.25640936,3866.66666584,3840.64102481
194,3713.07692197,3733.71794761,3715.64102453,3710.5128194,3665.76922952,3690.38461421,4184.87179474,3681.41025523,3656.53846029,3713.33333223,3690.89743472,3676.79487062,3723.07692197,3698.84615267
195,3713.07692197,3733.71794761,3715.64102453,3710.5128194,3665.76922952,3690.38461421,4184.87179474,3681.41025523,3656.53846029,3713.33333223,3690.89743472,3676.79487062,3723.07692197,3698.84615267
196,3604.61538323,3617.05128073,3607.43589605,3602.30769092,3620.25640894,3584.4871781,4188.46153833,3603.07692169,3571.41025495,3612.8205115,3589.10256272,3571.53846008,3622.30769099,3608.07692169
197,3518.97435745,3533.58974206,3527.8205113,3520.51281899,3542.69230617,3502.43589584,4187.82051269,3506.02563943,3489.23076764,3505.64102405,3501.53845994,3494.74358815,3529.35897283,3522.30769078
198,3508.84615225,3529.87179335,3524.48717796,3510.25640866,3483.97435738,3493.46153687,4186.79487166,3463.33333167,3447.17948552,3484.10256251,3484.48717789,3491.41025482,3505.76922917,3510.25640866
199,3511.66666507,3530.51281899,3526.53846001,3508.46153687,3475.25640859,3495.51281892,4186.5384614,3464.87179321,3436.02563929,3494.61538302,3481.41025482,3495.38461379,3515.1282036,3515.25640873
200,3494.48717789,3529.10256258,3508.20512661,3502.43589584,3481.41025482,3464.48717782,4185.25641012,3465.64102398,3433.97435724,3480.12820353,3472.5641009,3477.43589577,3511.9230754,3489.35897276
